MeasureItem,MeasureItemCategoryID,MeasureItemID,Category,Country,Year,LengthOfCircuits,LengthOfRoutes,NumberOfUnits,ProvidedValue,CreationDate,ProvidedValueCode
Inventory of Transmission,5,407,ACC_Over_380kV,AT,2019,53,54,,,2024-09-17 11:24:52,
Inventory of Transmission,5,400,ACL_110kV_220kV,AT,2019,10736,6148,,,2024-09-17 11:24:52,
Inventory of Transmission,5,401,ACL_220kV,AT,2019,3735,1909,,,2024-09-17 11:24:52,
Inventory of Transmission,5,402,ACL_275kV,AT,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,403,ACL_330kV,AT,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,AT,2019,3002,1386,,,2024-09-17 11:24:52,
Inventory of Transmission,5,405,ACL_750kV,AT,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,424,Comments_1,AT,2019,,,,,2024-09-17 11:24:52,
Inventory of Transmission,5,425,Comments_2,AT,2019,,,,,2024-09-17 11:24:52,
Inventory of Transmission,5,426,Comments_3,AT,2019,,,,,2024-09-17 11:24:52,
Inventory of Transmission,5,427,Comments_4,AT,2019,,,,,2024-09-17 11:24:52,
Inventory of Transmission,5,422,DCC_110kV_220V,AT,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,408,DCC_220kV_380kV,AT,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,409,DCC_Over_380kV,AT,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,AT,2019,,,42,9020,2024-09-17 11:24:52,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,AT,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,AT,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,AT,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,AT,2019,,,20,5800,2024-09-17 11:24:52,
Inventory of Transmission,5,416,Nw_400kV_220kV,AT,2019,,,19,12800,2024-09-17 11:24:52,
Inventory of Transmission,5,415,Nw_400kV_330kV,AT,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,AT,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,AT,2019,,,5,2120,2024-09-17 11:24:52,
Inventory of Transmission,5,412,Of_PU_>275kV,AT,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,AT,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,AT,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,406,ACC_220kV_380kV,BE,2019,162,72,,,2024-09-17 11:24:52,
Inventory of Transmission,5,407,ACC_Over_380kV,BE,2019,41,10,,,2024-09-17 11:24:52,
Inventory of Transmission,5,400,ACL_110kV_220kV,BE,2019,3223,1934.707,,,2024-09-17 11:24:52,
Inventory of Transmission,5,401,ACL_220kV,BE,2019,448.184,298.907,,,2024-09-17 11:24:52,
Inventory of Transmission,5,402,ACL_275kV,BE,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,403,ACL_330kV,BE,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,BE,2019,1533.558,939.077,,,2024-09-17 11:24:52,
Inventory of Transmission,5,405,ACL_750kV,BE,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,424,Comments_1,BE,2019,,,,,2024-09-17 11:24:52,
Inventory of Transmission,5,425,Comments_2,BE,2019,,,,,2024-09-17 11:24:52,
Inventory of Transmission,5,426,Comments_3,BE,2019,,,,,2024-09-17 11:24:52,
Inventory of Transmission,5,427,Comments_4,BE,2019,,,,,2024-09-17 11:24:52,
Inventory of Transmission,5,422,DCC_110kV_220V,BE,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,408,DCC_220kV_380kV,BE,2019,49,49,,,2024-09-17 11:24:52,
Inventory of Transmission,5,409,DCC_Over_380kV,BE,2019,139,139,,,2024-09-17 11:24:52,
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,BE,2019,,,5,1565,2024-09-17 11:24:52,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,BE,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,BE,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,BE,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,BE,2019,,,29,4898.5,2024-09-17 11:24:52,
Inventory of Transmission,5,416,Nw_400kV_220kV,BE,2019,,,11,4500,2024-09-17 11:24:52,
Inventory of Transmission,5,415,Nw_400kV_330kV,BE,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,BE,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,BE,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,412,Of_PU_>275kV,BE,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,BE,2019,,,44,10193.5,2024-09-17 11:24:52,
Inventory of Transmission,5,410,Of_PU_>400kV,BE,2019,,,,,2024-09-17 11:24:52,Not Expected
Inventory of Transmission,5,406,ACC_220kV_380kV,BG,2019,,,,,2024-09-17 11:24:53,Not Expected
Inventory of Transmission,5,407,ACC_Over_380kV,BG,2019,,,,,2024-09-17 11:24:53,Not Expected
Inventory of Transmission,5,400,ACL_110kV_220kV,BG,2019,9471,9471,,,2024-09-17 11:24:53,
Inventory of Transmission,5,401,ACL_220kV,BG,2019,2837,2837,,,2024-09-17 11:24:53,
Inventory of Transmission,5,402,ACL_275kV,BG,2019,,,,,2024-09-17 11:24:53,Not Expected
Inventory of Transmission,5,403,ACL_330kV,BG,2019,,,,,2024-09-17 11:24:53,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,BG,2019,2419,2419,,,2024-09-17 11:24:53,
Inventory of Transmission,5,405,ACL_750kV,BG,2019,,,,,2024-09-17 11:24:53,Not Expected
Inventory of Transmission,5,424,Comments_1,BG,2019,,,,,2024-09-17 11:24:53,
Inventory of Transmission,5,425,Comments_2,BG,2019,,,,,2024-09-17 11:24:53,
Inventory of Transmission,5,426,Comments_3,BG,2019,,,,,2024-09-17 11:24:53,
Inventory of Transmission,5,427,Comments_4,BG,2019,,,,,2024-09-17 11:24:53,
Inventory of Transmission,5,422,DCC_110kV_220V,BG,2019,,,,,2024-09-17 11:24:53,Not Expected
Inventory of Transmission,5,408,DCC_220kV_380kV,BG,2019,,,,,2024-09-17 11:24:53,Not Expected
Inventory of Transmission,5,409,DCC_Over_380kV,BG,2019,,,,,2024-09-17 11:24:53,Not Expected
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,BG,2019,,,40,7.94,2024-09-17 11:24:53,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,BG,2019,,,,,2024-09-17 11:24:53,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,BG,2019,,,,,2024-09-17 11:24:53,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,BG,2019,,,,,2024-09-17 11:24:53,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,BG,2019,,,21,4.782,2024-09-17 11:24:53,
Inventory of Transmission,5,416,Nw_400kV_220kV,BG,2019,,,7,6.144,2024-09-17 11:24:53,
Inventory of Transmission,5,415,Nw_400kV_330kV,BG,2019,,,,,2024-09-17 11:24:53,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,BG,2019,,,,,2024-09-17 11:24:53,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,BG,2019,,,25,4.46,2024-09-17 11:24:53,
Inventory of Transmission,5,412,Of_PU_>275kV,BG,2019,,,,,2024-09-17 11:24:53,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,BG,2019,,,,,2024-09-17 11:24:53,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,BG,2019,,,8,4.788,2024-09-17 11:24:53,
Inventory of Transmission,5,406,ACC_220kV_380kV,CH,2019,14.9,,,,2024-09-17 11:25:01,
Inventory of Transmission,5,407,ACC_Over_380kV,CH,2019,20.8,,,,2024-09-17 11:25:01,
Inventory of Transmission,5,400,ACL_110kV_220kV,CH,2019,47.3,,,,2024-09-17 11:25:01,
Inventory of Transmission,5,401,ACL_220kV,CH,2019,4813.1,,,,2024-09-17 11:25:01,
Inventory of Transmission,5,402,ACL_275kV,CH,2019,,,,,2024-09-17 11:25:01,Not Expected
Inventory of Transmission,5,403,ACL_330kV,CH,2019,,,,,2024-09-17 11:25:01,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,CH,2019,1774.2,,,,2024-09-17 11:25:01,
Inventory of Transmission,5,405,ACL_750kV,CH,2019,,,,,2024-09-17 11:25:01,Not Expected
Inventory of Transmission,5,424,Comments_1,CH,2019,,,,,2024-09-17 11:25:01,
Inventory of Transmission,5,425,Comments_2,CH,2019,,,,,2024-09-17 11:25:01,
Inventory of Transmission,5,426,Comments_3,CH,2019,,,,,2024-09-17 11:25:01,
Inventory of Transmission,5,427,Comments_4,CH,2019,,,,,2024-09-17 11:25:01,
Inventory of Transmission,5,422,DCC_110kV_220V,CH,2019,,,,,2024-09-17 11:25:01,Not Expected
Inventory of Transmission,5,408,DCC_220kV_380kV,CH,2019,,,,,2024-09-17 11:25:01,Not Expected
Inventory of Transmission,5,409,DCC_Over_380kV,CH,2019,,,,,2024-09-17 11:25:01,Not Expected
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,CH,2019,,,,,2024-09-17 11:25:01,Not Expected
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,CH,2019,,,,,2024-09-17 11:25:01,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,CH,2019,,,,,2024-09-17 11:25:01,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,CH,2019,,,,,2024-09-17 11:25:01,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,CH,2019,,,,,2024-09-17 11:25:01,Not Expected
Inventory of Transmission,5,416,Nw_400kV_220kV,CH,2019,,,21,12336,2024-09-17 11:25:01,
Inventory of Transmission,5,415,Nw_400kV_330kV,CH,2019,,,,,2024-09-17 11:25:01,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,CH,2019,,,,,2024-09-17 11:25:01,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,CH,2019,,,,,2024-09-17 11:25:01,Not Expected
Inventory of Transmission,5,412,Of_PU_>275kV,CH,2019,,,,,2024-09-17 11:25:01,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,CH,2019,,,,,2024-09-17 11:25:01,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,CH,2019,,,,,2024-09-17 11:25:01,Not Expected
Inventory of Transmission,5,406,ACC_220kV_380kV,CZ,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,407,ACC_Over_380kV,CZ,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,400,ACL_110kV_220kV,CZ,2019,84,45,,,2024-09-17 11:24:54,
Inventory of Transmission,5,401,ACL_220kV,CZ,2019,1737,1262,,,2024-09-17 11:24:54,
Inventory of Transmission,5,402,ACL_275kV,CZ,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,403,ACL_330kV,CZ,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,CZ,2019,3780,3126,,,2024-09-17 11:24:54,
Inventory of Transmission,5,405,ACL_750kV,CZ,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,424,Comments_1,CZ,2019,,,,,2024-09-17 11:24:54,
Inventory of Transmission,5,425,Comments_2,CZ,2019,,,,,2024-09-17 11:24:54,
Inventory of Transmission,5,426,Comments_3,CZ,2019,,,,,2024-09-17 11:24:54,
Inventory of Transmission,5,427,Comments_4,CZ,2019,,,,,2024-09-17 11:24:54,
Inventory of Transmission,5,422,DCC_110kV_220V,CZ,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,408,DCC_220kV_380kV,CZ,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,409,DCC_Over_380kV,CZ,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,CZ,2019,,,20,4000,2024-09-17 11:24:54,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,CZ,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,CZ,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,CZ,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,CZ,2019,,,49,16550,2024-09-17 11:24:54,
Inventory of Transmission,5,416,Nw_400kV_220kV,CZ,2019,,,8,5400,2024-09-17 11:24:54,
Inventory of Transmission,5,415,Nw_400kV_330kV,CZ,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,CZ,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,CZ,2019,,,14,4000,2024-09-17 11:24:54,
Inventory of Transmission,5,412,Of_PU_>275kV,CZ,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,CZ,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,CZ,2019,,,28,21950,2024-09-17 11:24:54,
Inventory of Transmission,5,406,ACC_220kV_380kV,DE,2019,294,284,,,2024-09-17 11:24:55,
Inventory of Transmission,5,407,ACC_Over_380kV,DE,2019,55,28,,,2024-09-17 11:24:55,
Inventory of Transmission,5,400,ACL_110kV_220kV,DE,2019,763,937.05,,,2024-09-17 11:24:55,
Inventory of Transmission,5,401,ACL_220kV,DE,2019,11944.54,4957.76,,,2024-09-17 11:24:55,
Inventory of Transmission,5,402,ACL_275kV,DE,2019,,,,,2024-09-17 11:24:55,Not Expected
Inventory of Transmission,5,403,ACL_330kV,DE,2019,,,,,2024-09-17 11:24:55,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,DE,2019,22389.414,12613.29,,,2024-09-17 11:24:55,
Inventory of Transmission,5,405,ACL_750kV,DE,2019,,,,,2024-09-17 11:24:55,Not Expected
Inventory of Transmission,5,424,Comments_1,DE,2019,,,,Amprion: Does also include Circuits/Routes with Cables. Selection of circuits and lines owned by Amprion. If there is more than one circuit on a line the highest voltage level is used. The Length of Route of 110kV inlcudes Routes without active Circuits,2024-09-17 11:24:55,
Inventory of Transmission,5,425,Comments_2,DE,2019,,,,Amprion: A distinction between cables and lines for circuits and routes is only available starting from the year 2021.,2024-09-17 11:24:55,
Inventory of Transmission,5,426,Comments_3,DE,2019,,,,,2024-09-17 11:24:55,
Inventory of Transmission,5,427,Comments_4,DE,2019,,,,"Amprion: Including transformers (400kV-110kV/220kV-110kV) owned by Lechwerke. Without phase-shifting transformers and transformers for FACTS.
TenneT: Historical data of 2019 and 2020 only contains for TenneT DE Offshore transformers.",2024-09-17 11:24:55,
Inventory of Transmission,5,422,DCC_110kV_220V,DE,2019,200,200,,,2024-09-17 11:24:55,
Inventory of Transmission,5,408,DCC_220kV_380kV,DE,2019,1285,1285,,,2024-09-17 11:24:55,
Inventory of Transmission,5,409,DCC_Over_380kV,DE,2019,15,15,,,2024-09-17 11:24:55,
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,DE,2019,,,181,38690,2024-09-17 11:24:55,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,DE,2019,,,,,2024-09-17 11:24:55,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,DE,2019,,,14,8804,2024-09-17 11:24:55,
Inventory of Transmission,5,418,Nw_330kV_220kV,DE,2019,,,,,2024-09-17 11:24:55,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,DE,2019,,,285,85855,2024-09-17 11:24:55,
Inventory of Transmission,5,416,Nw_400kV_220kV,DE,2019,,,71,49784,2024-09-17 11:24:55,
Inventory of Transmission,5,415,Nw_400kV_330kV,DE,2019,,,14,8606,2024-09-17 11:24:55,
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,DE,2019,,,,,2024-09-17 11:24:55,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,DE,2019,,,109,18225,2024-09-17 11:24:55,
Inventory of Transmission,5,412,Of_PU_>275kV,DE,2019,,,,,2024-09-17 11:24:55,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,DE,2019,,,,,2024-09-17 11:24:55,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,DE,2019,,,159,57485,2024-09-17 11:24:55,
Inventory of Transmission,5,406,ACC_220kV_380kV,EE,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,407,ACC_Over_380kV,EE,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,400,ACL_110kV_220kV,EE,2019,3415,3415,,,2024-09-17 11:24:54,
Inventory of Transmission,5,401,ACL_220kV,EE,2019,158,158,,,2024-09-17 11:24:54,
Inventory of Transmission,5,402,ACL_275kV,EE,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,403,ACL_330kV,EE,2019,1719,1719,,,2024-09-17 11:24:54,
Inventory of Transmission,5,404,ACL_380_400kV,EE,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,405,ACL_750kV,EE,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,424,Comments_1,EE,2019,,,,,2024-09-17 11:24:54,
Inventory of Transmission,5,425,Comments_2,EE,2019,,,,,2024-09-17 11:24:54,
Inventory of Transmission,5,426,Comments_3,EE,2019,,,,,2024-09-17 11:24:54,
Inventory of Transmission,5,427,Comments_4,EE,2019,,,,,2024-09-17 11:24:54,
Inventory of Transmission,5,422,DCC_110kV_220V,EE,2019,54,54,,,2024-09-17 11:24:54,
Inventory of Transmission,5,408,DCC_220kV_380kV,EE,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,409,DCC_Over_380kV,EE,2019,85,85,,,2024-09-17 11:24:54,
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,EE,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,EE,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,EE,2019,,,18,3.225,2024-09-17 11:24:54,
Inventory of Transmission,5,418,Nw_330kV_220kV,EE,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,EE,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,416,Nw_400kV_220kV,EE,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,415,Nw_400kV_330kV,EE,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,EE,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,EE,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,412,Of_PU_>275kV,EE,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,EE,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,EE,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,406,ACC_220kV_380kV,ES,2019,491.228,485.26,,,2024-09-17 11:25:00,
Inventory of Transmission,5,407,ACC_Over_380kV,ES,2019,55.05,22.8,,,2024-09-17 11:25:00,
Inventory of Transmission,5,400,ACL_110kV_220kV,ES,2019,363.771,294.36,,,2024-09-17 11:25:00,
Inventory of Transmission,5,401,ACL_220kV,ES,2019,18906.832,13346.83,,,2024-09-17 11:25:00,
Inventory of Transmission,5,402,ACL_275kV,ES,2019,,,,,2024-09-17 11:25:00,Not Expected
Inventory of Transmission,5,403,ACL_330kV,ES,2019,,,,,2024-09-17 11:25:00,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,ES,2019,21646.912,13972.69,,,2024-09-17 11:25:00,
Inventory of Transmission,5,405,ACL_750kV,ES,2019,,,,,2024-09-17 11:25:00,Not Expected
Inventory of Transmission,5,424,Comments_1,ES,2019,,,,*Estimation of the Length of Routes. Includes RE assets on a national scope.,2024-09-17 11:25:00,
Inventory of Transmission,5,425,Comments_2,ES,2019,,,,*Estimation of the Length of Routes. Includes RE assets on a national scope.,2024-09-17 11:25:00,
Inventory of Transmission,5,426,Comments_3,ES,2019,,,,*Estimation of the Length of Routes. Includes RE assets on a national scope.,2024-09-17 11:25:00,
Inventory of Transmission,5,427,Comments_4,ES,2019,,,,*Includes RE assets on a national scope.,2024-09-17 11:25:00,
Inventory of Transmission,5,422,DCC_110kV_220V,ES,2019,,,,,2024-09-17 11:25:00,Not Expected
Inventory of Transmission,5,408,DCC_220kV_380kV,ES,2019,549.94,274.97,,,2024-09-17 11:25:00,
Inventory of Transmission,5,409,DCC_Over_380kV,ES,2019,,,,,2024-09-17 11:25:00,Not Expected
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,ES,2019,,,59,7.599,2024-09-17 11:25:00,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,ES,2019,,,,,2024-09-17 11:25:00,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,ES,2019,,,,,2024-09-17 11:25:00,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,ES,2019,,,,,2024-09-17 11:25:00,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,ES,2019,,,,,2024-09-17 11:25:00,Not Expected
Inventory of Transmission,5,416,Nw_400kV_220kV,ES,2019,,,156,84.19,2024-09-17 11:25:00,
Inventory of Transmission,5,415,Nw_400kV_330kV,ES,2019,,,,,2024-09-17 11:25:00,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,ES,2019,,,,,2024-09-17 11:25:00,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,ES,2019,,,59,7.599,2024-09-17 11:25:00,
Inventory of Transmission,5,412,Of_PU_>275kV,ES,2019,,,,,2024-09-17 11:25:00,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,ES,2019,,,,,2024-09-17 11:25:00,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,ES,2019,,,156,84.19,2024-09-17 11:25:00,
Inventory of Transmission,5,406,ACC_220kV_380kV,FI,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,407,ACC_Over_380kV,FI,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,400,ACL_110kV_220kV,FI,2019,7267,4879,,,2024-09-17 11:24:54,
Inventory of Transmission,5,401,ACL_220kV,FI,2019,1319,1036,,,2024-09-17 11:24:54,
Inventory of Transmission,5,402,ACL_275kV,FI,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,403,ACL_330kV,FI,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,FI,2019,5211,4279,,,2024-09-17 11:24:54,
Inventory of Transmission,5,405,ACL_750kV,FI,2019,,,,,2024-09-17 11:24:54,Not Expected
Inventory of Transmission,5,424,Comments_1,FI,2019,,,,,2024-09-17 11:24:54,
Inventory of Transmission,5,425,Comments_2,FI,2019,,,,,2024-09-17 11:24:54,
Inventory of Transmission,5,426,Comments_3,FI,2019,,,,,2024-09-17 11:24:54,
Inventory of Transmission,5,427,Comments_4,FI,2019,,,,,2024-09-17 11:24:54,
Inventory of Transmission,5,422,DCC_110kV_220V,FI,2019,53,53,,,2024-09-17 11:24:54,
Inventory of Transmission,5,408,DCC_220kV_380kV,FI,2019,,,,,2024-09-17 11:24:54,Not Expected
